"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Brandin Cooks","WR","HOU","428","32","20.12","23","13.38","62.86%","0.72","290.11","322","1.57","1","61.20","58.54","2.70","49.70","48.48","1.20","61","2.65","61.70","59.03","2.70","50.20","48.97","1.20","4.90","0.00","0.50","0.49","33","1","5","0"
"Davante Adams","WR","GB","406","34","21.07","25","11.94","61.98%","0.74","292.73","309","2.12","1","61.90","63.04","-1.10","49.40","52.50","-3.10","80","3.20","61.90","63.04","-1.10","49.40","52.50","-3.10","0.00","0.00","0.00","0.00","34","0","0","0"
"Stefon Diggs","WR","BUF","386","31","19.76","19","12.45","63.74%","0.61","275.25","191","1.39","1","44.10","55.64","-11.50","34.60","45.77","-11.20","48","2.53","44.10","55.64","-11.50","34.60","45.77","-11.20","0.00","0.00","0.00","0.00","31","0","0","0"
"Chase Claypool","WR","PIT","363","29","17.73","15","12.52","61.15%","0.52","267.81","211","0.96","0","36.10","50.25","-14.20","28.60","41.39","-12.80","59","3.93","38.30","51.26","-13.00","30.80","42.39","-11.60","9.34","0.01","2.20","1.01","31","2","22","0"
"DJ Chark Jr.","WR","JAX","359","22","12.40","7","16.32","56.35%","0.32","242.69","154","0.77","2","34.40","41.30","-6.90","30.90","35.10","-4.20","24","3.43","34.40","41.30","-6.90","30.90","35.10","-4.20","0.00","0.00","0.00","0.00","22","0","0","0"
"Darren Waller","TE","LV","350","33","21.00","20","10.61","63.64%","0.61","286.94","224","1.30","1","48.40","57.49","-9.10","38.40","46.99","-8.60","71","3.55","48.40","57.49","-9.10","38.40","46.99","-8.60","0.00","0.00","0.00","0.00","33","0","0","0"
"Marquise Brown","WR","BAL","349","23","12.87","15","15.17","55.97%","0.65","214.18","235","1.78","2","50.50","44.95","5.50","43.00","38.52","4.50","95","6.33","51.00","45.46","5.50","43.50","39.02","4.50","4.87","0.00","0.50","0.51","24","1","5","0"
"Marquez Valdes-Scantling","WR","GB","349","16","7.74","6","21.81","48.39%","0.38","163.85","76","1.61","1","19.60","33.77","-14.20","16.60","29.90","-13.30","24","4.00","19.60","33.77","-14.20","16.60","29.90","-13.30","0.00","0.00","0.00","0.00","16","0","0","0"
"Mike Evans","WR","TB","342","25","15.14","16","13.68","60.58%","0.64","241.52","205","2.00","2","48.50","51.28","-2.80","40.50","43.70","-3.20","46","2.88","48.50","51.28","-2.80","40.50","43.70","-3.20","0.00","0.00","0.00","0.00","25","0","0","0"
"Marvin Jones Jr.","WR","DET","339","28","16.61","17","12.11","59.30%","0.61","240.28","194","1.98","2","48.40","52.54","-4.10","39.90","44.24","-4.30","32","1.88","48.40","52.54","-4.10","39.90","44.24","-4.30","0.00","0.00","0.00","0.00","28","0","0","0"
"Emmanuel Sanders","WR","NO","338","20","10.77","11","16.90","53.85%","0.55","200.13","194","1.35","2","42.40","38.86","3.50","36.90","33.47","3.40","27","2.45","42.40","38.86","3.50","36.90","33.47","3.40","0.00","0.00","0.00","0.00","20","0","0","0"
"Courtland Sutton","WR","DEN","335","20","11.66","15","16.75","58.32%","0.75","189.97","210","1.21","0","36.00","37.90","-1.90","28.50","32.07","-3.60","34","2.27","36.00","37.90","-1.90","28.50","32.07","-3.60","0.00","0.00","0.00","0.00","20","0","0","0"
"Tyreek Hill","WR","KC","334","26","15.97","19","12.85","61.41%","0.73","242.91","267","0.86","1","51.70","45.39","6.30","42.20","37.41","4.80","83","4.37","54.70","46.94","7.80","45.20","38.96","6.20","12.99","0.04","3.00","1.55","29","3","30","0"
"D.J. Moore","WR","CAR","330","30","19.21","21","11.00","64.04%","0.70","275.95","283","0.37","0","49.30","49.05","0.20","38.80","39.45","-0.60","81","3.86","50.60","49.83","0.80","40.10","40.23","-0.10","7.25","0.01","1.30","0.78","32","2","13","0"
"Justin Jefferson","WR","MIN","322","30","18.80","20","10.73","62.68%","0.67","256.18","254","1.19","2","57.40","51.55","5.80","47.40","42.15","5.20","96","4.80","57.40","51.55","5.80","47.40","42.15","5.20","0.00","0.00","0.00","0.00","30","0","0","0"
"DK Metcalf","WR","SEA","318","25","14.86","16","12.72","59.44%","0.64","225.09","220","1.47","2","50.00","46.18","3.80","42.00","38.75","3.30","74","4.63","50.00","46.18","3.80","42.00","38.75","3.30","0.00","0.00","0.00","0.00","25","0","0","0"
"Henry Ruggs III","WR","LV","309","19","11.34","11","16.26","59.67%","0.58","194.95","237","0.48","1","40.70","33.74","7.00","35.20","28.07","7.10","74","6.73","41.60","35.20","6.40","36.10","29.53","6.60","7.60","0.12","0.90","1.46","21","2","9","0"
"Michael Pittman Jr.","WR","IND","302","28","17.60","17","10.79","62.85%","0.61","238.97","220","1.49","0","39.00","50.43","-11.40","30.50","41.63","-11.10","63","3.71","39.50","50.92","-11.40","31.00","42.12","-11.10","4.93","0.00","0.50","0.49","29","1","5","0"
"DeVonta Smith","WR","PHI","301","21","12.72","11","14.33","60.57%","0.52","188.17","115","0.80","1","28.50","36.33","-7.80","23.00","29.97","-7.00","34","3.09","28.50","36.33","-7.80","23.00","29.97","-7.00","0.00","0.00","0.00","0.00","21","0","0","0"
"DeVante Parker","WR","MIA","299","23","14.15","13","13.00","61.50%","0.57","213.27","165","0.48","0","29.50","38.34","-8.80","23.00","31.27","-8.30","42","3.23","29.50","38.34","-8.80","23.00","31.27","-8.30","0.00","0.00","0.00","0.00","23","0","0","0"
"Sammy Watkins","WR","KC","296","22","13.42","12","13.45","61.01%","0.55","189.48","208","1.03","0","32.80","38.57","-5.80","26.80","31.86","-5.10","63","5.25","32.80","38.57","-5.80","26.80","31.86","-5.10","0.00","0.00","0.00","0.00","22","0","0","0"
"Jakobi Meyers","WR","NE","293","29","18.96","19","10.10","65.38%","0.66","245.56","176","0.60","0","36.60","47.12","-10.50","27.10","37.64","-10.50","50","2.63","36.60","47.12","-10.50","27.10","37.64","-10.50","0.00","0.00","0.00","0.00","29","0","0","0"
"A.J. Brown","WR","TEN","289","19","10.64","7","15.21","55.99%","0.37","174.11","92","1.33","1","22.20","36.05","-13.90","18.70","30.74","-12.00","10","1.43","22.50","36.51","-14.00","19.00","31.19","-12.20","4.56","0.00","0.30","0.46","20","1","3","0"
"Mike Williams","WR","LAC","287","31","19.21","22","9.26","61.97%","0.71","226.68","295","3.04","4","75.50","60.12","15.40","64.50","50.51","14.00","109","4.95","75.50","60.12","15.40","64.50","50.51","14.00","0.00","0.00","0.00","0.00","31","0","0","0"
"Tyler Lockett","WR","SEA","283","20","11.67","16","14.15","58.36%","0.80","170.74","309","0.88","3","64.90","34.01","30.90","56.90","28.17","28.70","101","6.31","64.90","34.01","30.90","56.90","28.17","28.70","0.00","0.00","0.00","0.00","20","0","0","0"
"CeeDee Lamb","WR","DAL","275","27","17.70","18","10.19","65.57%","0.67","230.26","265","1.45","1","50.50","49.41","1.10","41.50","40.56","0.90","120","6.67","51.70","51.65","0.10","42.70","42.80","-0.10","5.81","0.28","1.20","2.24","29","2","12","0"
"Keenan Allen","WR","LAC","274","33","21.74","21","8.30","65.89%","0.64","249.18","258","1.95","1","52.80","58.38","-5.60","42.30","47.50","-5.20","79","3.76","52.80","58.38","-5.60","42.30","47.50","-5.20","0.00","0.00","0.00","0.00","33","0","0","0"
"Nelson Agholor","WR","LV","270","18","10.16","10","15.00","56.43%","0.56","159.92","110","1.36","1","27.00","34.33","-7.30","22.00","29.25","-7.30","18","1.80","27.00","34.33","-7.30","22.00","29.25","-7.30","0.00","0.00","0.00","0.00","18","0","0","0"
"Cooper Kupp","WR","LAR","269","33","21.36","25","8.15","64.74%","0.76","244.13","367","2.22","5","91.70","59.08","32.60","79.20","48.40","30.80","174","6.96","91.20","59.75","31.40","78.70","49.07","29.60","3.54","0.05","-0.50","0.68","34","1","-5","0"
"Kenny Golladay","WR","DET","265","19","10.91","11","13.95","57.43%","0.58","187.91","166","0.93","0","27.60","35.28","-7.70","22.10","29.83","-7.70","26","2.36","27.60","35.28","-7.70","22.10","29.83","-7.70","0.00","0.00","0.00","0.00","19","0","0","0"
"Christian Kirk","WR","ARI","265","17","9.10","15","15.59","53.52%","0.88","144.71","239","1.45","2","50.90","32.27","18.60","43.40","27.72","15.70","51","3.40","50.90","32.27","18.60","43.40","27.72","15.70","0.00","0.00","0.00","0.00","17","0","0","0"
"Ja'Marr Chase","WR","CIN","264","16","8.85","11","16.50","55.33%","0.69","152.25","220","1.00","4","57.00","30.10","26.90","51.50","25.68","25.80","54","4.91","56.80","30.60","26.20","51.30","26.17","25.10","4.78","0.00","-0.20","0.50","17","1","-2","0"
"Corey Davis","WR","TEN","263","22","13.77","12","11.95","62.58%","0.55","198.58","146","1.00","2","38.60","39.62","-1.00","32.60","32.73","-0.10","0","0.00","38.60","39.62","-1.00","32.60","32.73","-0.10","0.00","0.00","0.00","0.00","22","0","0","0"
"Calvin Ridley","WR","ATL","255","29","18.82","20","8.79","64.90%","0.69","224.28","175","2.07","1","43.50","53.64","-10.10","33.50","44.23","-10.70","65","3.25","43.50","53.64","-10.10","33.50","44.23","-10.70","0.00","0.00","0.00","0.00","29","0","0","0"
"Julio Jones","WR","ATL","242","18","10.17","12","13.44","56.48%","0.67","156.30","204","1.18","0","32.40","32.87","-0.50","26.40","27.79","-1.40","48","4.00","32.40","32.87","-0.50","26.40","27.79","-1.40","0.00","0.00","0.00","0.00","18","0","0","0"
"Elijah Moore","WR","NYJ","235","18","11.62","8","13.06","64.53%","0.44","179.18","66","0.45","0","14.60","32.21","-17.60","10.60","26.40","-15.80","22","2.75","14.60","32.21","-17.60","10.60","26.40","-15.80","0.00","0.00","0.00","0.00","18","0","0","0"
"Travis Kelce","TE","KC","226","26","17.72","20","8.69","68.16%","0.77","211.55","289","0.76","3","66.90","43.44","23.50","56.90","34.58","22.30","151","7.55","66.90","43.44","23.50","56.90","34.58","22.30","0.00","0.00","0.00","0.00","26","0","0","0"
"A.J. Green","WR","CIN","211","18","10.80","10","11.72","60.02%","0.56","159.02","181","1.41","1","34.10","35.16","-1.10","29.10","29.75","-0.70","30","3.00","34.10","35.16","-1.10","29.10","29.75","-0.70","0.00","0.00","0.00","0.00","18","0","0","0"
"Terry McLaurin","WR","WAS","210","26","16.90","20","8.08","64.98%","0.77","198.41","247","1.05","1","50.70","43.07","7.60","40.70","34.62","6.10","96","4.80","50.70","43.07","7.60","40.70","34.62","6.10","0.00","0.00","0.00","0.00","26","0","0","0"
"Deebo Samuel","WR","SF","209","30","20.94","20","6.97","69.81%","0.67","245.38","334","0.41","1","59.40","47.92","11.50","49.40","37.45","11.90","184","9.20","60.20","50.81","9.40","50.20","40.33","9.90","19.10","0.16","0.80","2.88","34","4","8","0"
"Amari Cooper","WR","DAL","208","26","17.37","19","8.00","66.80%","0.73","195.25","189","1.58","2","49.90","46.38","3.50","40.40","37.69","2.70","48","2.53","49.90","46.38","3.50","40.40","37.69","2.70","0.00","0.00","0.00","0.00","26","0","0","0"
"Mike Gesicki","TE","MIA","207","21","13.68","13","9.86","65.14%","0.62","185.43","127","0.13","0","25.70","33.01","-7.30","19.20","26.17","-7.00","26","2.00","25.70","33.01","-7.30","19.20","26.17","-7.00","0.00","0.00","0.00","0.00","21","0","0","0"
"Antonio Brown","WR","TB","207","10","5.04","6","20.70","50.37%","0.60","112.22","138","0.73","1","25.80","20.61","5.20","22.80","18.09","4.70","27","4.50","26.40","21.03","5.40","23.40","18.51","4.90","4.17","0.00","0.60","0.42","11","1","6","0"
"Bryan Edwards","WR","LV","205","13","7.36","10","15.77","56.61%","0.77","134.18","210","0.49","0","31.00","23.72","7.30","26.00","20.04","6.00","58","5.80","31.00","23.72","7.30","26.00","20.04","6.00","0.00","0.00","0.00","0.00","13","0","0","0"
"Darius Slayton","WR","NYG","202","14","8.40","7","14.43","60.00%","0.50","127.04","127","0.78","1","25.70","25.77","-0.10","22.20","21.57","0.60","8","1.14","25.70","25.77","-0.10","22.20","21.57","0.60","0.00","0.00","0.00","0.00","14","0","0","0"
"K.J. Hamler","WR","DEN","201","10","5.09","5","20.10","50.85%","0.50","109.89","74","0.33","0","12.40","18.05","-5.70","9.90","15.51","-5.60","16","3.20","12.40","18.05","-5.70","9.90","15.51","-5.60","0.00","0.00","0.00","0.00","10","0","0","0"
"Chris Godwin","WR","TB","199","25","16.92","19","7.96","67.67%","0.76","195.53","241","1.27","2","55.10","44.07","11.00","45.60","35.61","10.00","0","0.00","61.30","46.42","14.90","51.80","37.97","13.80","1.62","0.37","6.20","2.36","26","1","2","1"
"Robby Anderson","WR","CAR","195","11","6.06","5","17.73","55.06%","0.46","110.06","103","0.62","1","21.30","20.79","0.50","18.80","17.76","1.00","29","5.80","21.30","20.79","0.50","18.80","17.76","1.00","0.00","0.00","0.00","0.00","11","0","0","0"
"Sterling Shepard","WR","NYG","194","22","14.84","18","8.82","67.45%","0.82","190.82","223","0.44","1","46.30","36.54","9.80","37.30","29.12","8.20","61","3.39","45.40","37.02","8.40","36.40","29.60","6.80","4.82","0.00","-0.90","0.48","23","1","-9","0"
"Mark Andrews","TE","BAL","190","17","10.83","13","11.18","63.72%","0.77","155.90","186","0.35","0","31.60","28.53","3.10","25.10","23.11","2.00","62","4.77","31.60","28.53","3.10","25.10","23.11","2.00","0.00","0.00","0.00","0.00","17","0","0","0"
"Rob Gronkowski","TE","TB","186","20","12.65","16","9.30","63.23%","0.80","159.07","184","2.01","4","58.40","40.64","17.80","50.40","34.32","16.10","76","4.75","58.40","40.64","17.80","50.40","34.32","16.10","0.00","0.00","0.00","0.00","20","0","0","0"
"Diontae Johnson","WR","PIT","186","22","14.71","14","8.45","66.87%","0.64","173.56","141","1.15","1","34.10","38.95","-4.80","27.10","31.59","-4.50","89","6.36","34.10","38.95","-4.80","27.10","31.59","-4.50","0.00","0.00","0.00","0.00","22","0","0","0"
"Jalen Reagor","WR","PHI","182","19","12.49","13","9.58","65.75%","0.68","149.18","107","0.63","1","29.70","31.17","-1.50","23.20","24.93","-1.70","73","5.62","29.70","31.17","-1.50","23.20","24.93","-1.70","0.00","0.00","0.00","0.00","19","0","0","0"
"Van Jefferson","WR","LAR","179","12","7.21","7","14.92","60.05%","0.58","114.23","136","0.46","1","26.60","21.37","5.20","23.10","17.77","5.30","45","6.43","26.60","21.37","5.20","23.10","17.77","5.30","0.00","0.00","0.00","0.00","12","0","0","0"
"Robert Woods","WR","LAR","177","19","12.17","11","9.32","64.04%","0.58","159.76","124","1.24","1","29.40","35.58","-6.20","23.90","29.49","-5.60","34","3.09","31.20","37.69","-6.50","25.70","31.60","-5.90","18.37","0.04","1.80","2.11","23","4","18","0"
"Quintez Cephus","WR","DET","177","14","8.03","8","12.64","57.32%","0.57","114.78","83","1.44","2","28.30","28.13","0.20","24.30","24.12","0.20","31","3.88","28.30","28.13","0.20","24.30","24.12","0.20","0.00","0.00","0.00","0.00","14","0","0","0"
"Hunter Renfrow","WR","LV","175","22","14.97","16","7.95","68.06%","0.73","173.17","204","0.97","1","42.40","38.08","4.30","34.40","30.60","3.80","95","5.94","42.40","38.08","4.30","34.40","30.60","3.80","0.00","0.00","0.00","0.00","22","0","0","0"
"Kalif Raymond","WR","TEN","171","16","10.57","11","10.69","66.04%","0.69","142.10","136","0.45","0","24.60","27.47","-2.90","19.10","22.19","-3.10","46","4.18","25.50","28.05","-2.60","20.00","22.77","-2.80","4.95","0.01","0.90","0.59","17","1","9","0"
"Kendrick Bourne","WR","SF","171","14","9.02","9","12.21","64.41%","0.64","123.89","123","0.64","1","27.30","25.24","2.10","22.80","20.73","2.10","52","5.78","28.90","25.86","3.00","24.40","21.35","3.00","5.30","0.01","1.60","0.62","15","1","16","0"
"Dyami Brown","WR","WAS","170","12","7.10","4","14.17","59.17%","0.33","107.03","32","0.89","0","7.20","23.15","-16.00","5.20","19.60","-14.40","4","1.00","6.80","23.63","-16.80","4.80","20.08","-15.30","4.60","0.00","-0.40","0.48","13","1","-4","0"
"Cole Beasley","WR","BUF","167","30","21.41","23","5.57","71.37%","0.77","215.08","194","1.05","0","42.40","49.19","-6.80","30.90","38.49","-7.60","95","4.13","42.40","49.19","-6.80","30.90","38.49","-7.60","0.00","0.00","0.00","0.00","30","0","0","0"
"DeAndre Hopkins","WR","ARI","167","18","11.46","13","9.28","63.67%","0.72","143.58","158","0.97","3","46.80","31.67","15.10","40.30","25.94","14.40","50","3.85","46.80","31.67","15.10","40.30","25.94","14.40","0.00","0.00","0.00","0.00","18","0","0","0"
"Braxton Berrios","WR","NYJ","164","21","14.26","14","7.81","67.90%","0.67","171.88","150","0.11","0","29.00","32.11","-3.10","22.00","24.98","-3.00","40","2.86","29.00","32.11","-3.10","22.00","24.98","-3.00","0.00","0.00","0.00","0.00","21","0","0","0"
"Adam Thielen","WR","MIN","160","26","17.30","21","6.15","66.53%","0.81","186.91","181","1.77","4","63.10","46.63","16.50","52.60","37.98","14.60","58","2.76","63.10","46.63","16.50","52.60","37.98","14.60","0.00","0.00","0.00","0.00","26","0","0","0"
"Darnell Mooney","WR","CHI","158","19","12.37","12","8.32","65.10%","0.63","148.86","101","1.02","0","22.10","33.39","-11.30","16.10","27.20","-11.10","13","1.08","22.10","33.39","-11.30","16.10","27.20","-11.10","0.00","0.00","0.00","0.00","19","0","0","0"
"Anthony Schwartz","WR","CLE","155","7","3.56","3","22.14","50.79%","0.43","83.86","69","0.37","0","9.90","14.17","-4.30","8.40","12.39","-4.00","7","2.33","11.60","14.65","-3.00","10.10","12.87","-2.80","4.78","0.00","1.70","0.48","8","1","17","0"
"DeSean Jackson","WR","PHI","152","7","3.78","5","21.71","54.00%","0.71","78.85","141","0.31","1","25.10","13.54","11.60","22.60","11.65","11.00","69","13.80","25.10","13.54","11.60","22.60","11.65","11.00","0.00","0.00","0.00","0.00","7","0","0","0"
"T.J. Hockenson","TE","DET","151","22","15.11","18","6.86","68.69%","0.82","160.19","173","1.30","2","47.30","38.92","8.40","38.30","31.37","6.90","75","4.17","47.30","38.92","8.40","38.30","31.37","6.90","0.00","0.00","0.00","0.00","22","0","0","0"
"Odell Beckham Jr.","WR","CLE","149","9","5.06","5","16.56","56.27%","0.56","95.98","77","0.40","0","12.70","17.05","-4.40","10.20","14.52","-4.30","4","0.80","13.70","17.51","-3.80","11.20","14.98","-3.80","4.20","0.01","1.00","0.46","10","1","10","0"
"Tim Patrick","WR","DEN","147","13","7.81","12","11.31","60.07%","0.92","107.90","174","1.19","2","41.40","25.73","15.70","35.40","21.83","13.60","42","3.50","41.40","25.73","15.70","35.40","21.83","13.60","0.00","0.00","0.00","0.00","13","0","0","0"
"Allen Robinson II","WR","CHI","140","21","14.11","10","6.67","67.19%","0.48","142.29","86","1.17","1","24.60","35.34","-10.70","19.60","28.29","-8.70","37","3.70","24.60","35.34","-10.70","19.60","28.29","-8.70","0.00","0.00","0.00","0.00","21","0","0","0"
"Zach Pascal","WR","IND","139","18","10.48","11","7.72","58.23%","0.61","114.82","122","2.86","3","41.20","39.11","2.10","35.70","33.87","1.80","24","2.18","41.20","39.11","2.10","35.70","33.87","1.80","0.00","0.00","0.00","0.00","18","0","0","0"
"Tee Higgins","WR","CIN","138","15","9.19","10","9.20","61.26%","0.67","113.25","118","1.17","2","33.80","27.54","6.30","28.80","22.94","5.90","0","0.00","33.80","27.54","6.30","28.80","22.94","5.90","0.00","0.00","0.00","0.00","15","0","0","0"
"Kyle Pitts","TE","ATL","133","17","11.26","11","7.82","66.25%","0.65","128.50","139","0.68","0","24.90","28.21","-3.30","19.40","22.58","-3.20","45","4.09","24.90","28.21","-3.30","19.40","22.58","-3.20","0.00","0.00","0.00","0.00","17","0","0","0"
"Deonte Harris","WR","NO","132","7","3.79","6","18.86","54.09%","0.86","70.78","112","0.30","1","23.20","12.68","10.50","20.20","10.79","9.40","11","1.83","23.30","13.30","10.00","20.30","11.40","8.90","4.88","0.02","0.10","0.61","8","1","1","0"
"David Njoku","TE","CLE","131","8","4.23","5","16.38","52.84%","0.63","77.92","94","0.61","0","14.40","15.67","-1.30","11.90","13.56","-1.70","35","7.00","14.40","15.67","-1.30","11.90","13.56","-1.70","0.00","0.00","0.00","0.00","8","0","0","0"
"Tyler Boyd","WR","CIN","130","19","13.39","14","6.84","70.48%","0.74","140.35","141","0.18","1","34.10","28.51","5.60","27.10","21.82","5.30","67","4.79","34.10","28.51","5.60","27.10","21.82","5.30","0.00","0.00","0.00","0.00","19","0","0","0"
"Mecole Hardman","WR","KC","130","15","10.49","11","8.67","69.92%","0.73","121.55","107","0.57","1","27.70","26.07","1.60","22.20","20.82","1.40","76","6.91","27.90","26.50","1.40","22.40","21.25","1.10","3.93","0.01","0.20","0.43","16","1","2","0"
"K.J. Osborn","WR","MIN","129","17","11.93","14","7.59","70.15%","0.82","136.05","193","0.16","1","39.30","26.48","12.80","32.30","20.51","11.80","83","5.93","39.30","26.48","12.80","32.30","20.51","11.80","0.00","0.00","0.00","0.00","17","0","0","0"
"Jared Cook","TE","NO","122","16","10.73","10","7.63","67.07%","0.63","122.79","111","0.88","0","21.10","28.27","-7.20","16.10","22.90","-6.80","54","5.40","21.10","28.27","-7.20","16.10","22.90","-6.80","0.00","0.00","0.00","0.00","16","0","0","0"
"Will Fuller V","WR","HOU","121","6","3.37","3","20.17","56.20%","0.50","63.73","20","0.34","0","5.00","11.80","-6.80","3.50","10.11","-6.60","8","2.67","5.00","11.80","-6.80","3.50","10.11","-6.60","0.00","0.00","0.00","0.00","6","0","0","0"
"Chester Rogers","WR","TEN","120","13","8.01","7","9.23","61.64%","0.54","103.31","90","0.80","1","22.00","23.12","-1.10","18.50","19.12","-0.60","21","3.00","22.00","23.12","-1.10","18.50","19.12","-0.60","0.00","0.00","0.00","0.00","13","0","0","0"
"Logan Thomas","TE","WAS","115","14","9.10","12","8.21","64.99%","0.86","109.11","117","0.92","2","35.70","25.50","10.20","29.70","20.95","8.70","25","2.08","35.70","25.50","10.20","29.70","20.95","8.70","0.00","0.00","0.00","0.00","14","0","0","0"
"Jaylen Waddle","WR","MIA","108","26","18.96","22","4.15","72.92%","0.85","177.21","167","0.71","1","44.70","40.94","3.80","33.70","31.46","2.20","91","4.14","44.70","40.94","3.80","33.70","31.46","2.20","0.00","0.00","0.00","0.00","26","0","0","0"
